Date,Open,High,Low,Close,Adj Close
01/12/2011,3.7519,3.8231,3.7095,3.8058,3.8058
01/01/2012,3.806,3.862,3.7236,3.7416,3.7416
01/02/2012,3.7417,3.8115,3.6903,3.7778,3.7778
01/03/2012,3.7774,3.8177,3.6995,3.7049,3.7049
01/04/2012,3.7049,3.7705,3.6993,3.7405,3.7405
01/05/2012,3.7562,3.917,3.7542,3.869,3.869
01/06/2012,3.8993,3.9611,3.83,3.9031,3.9031
01/07/2012,3.9411,4.0956,3.901,4.0357,4.0357
01/08/2012,3.977,4.0671,3.9338,4.0233,4.0233
01/09/2012,4.0216,4.0366,3.871,3.912,3.912
01/10/2012,3.9211,3.938,3.7826,3.8843,3.8843
01/11/2012,3.8817,3.977,3.8,3.815,3.815
01/12/2012,3.8103,3.8423,3.7109,3.7251,3.7251
01/01/2013,3.7183,3.8559,3.7021,3.7265,3.7265
01/02/2013,3.7037,3.7559,3.6525,3.7056,3.7056
01/03/2013,3.7101,3.7384,3.6182,3.6308,3.6308
01/04/2013,3.6341,3.6501,3.5707,3.5822,3.5822
01/05/2013,3.581,3.7185,3.52334,3.6746,3.6746
01/06/2013,3.6855,3.69596,3.57218,3.62166,3.62166
01/07/2013,3.62166,3.6678,3.5165,3.5672,3.5672
01/08/2013,3.5588,3.6739,3.5214,3.6005,3.6005
01/09/2013,3.6005,3.6581,3.47396,3.548,3.548
01/10/2013,3.5215,3.5696,3.5035,3.5145,3.5145
01/11/2013,3.5211,3.5739,3.4979,3.515,3.515
01/12/2013,3.515,3.5335,3.4435,3.4725,3.4725
01/01/2014,3.4591,3.5203,3.459,3.4869,3.4869
01/02/2014,3.5115,3.54786,3.4785,3.4994,3.4994
01/03/2014,3.4855,3.514,1.7298,3.4918,3.4918
01/04/2014,3.4802,3.49259,3.451,3.464,3.464
01/05/2014,3.4562,3.4962,3.436,3.4635,3.4635
01/06/2014,3.4635,3.48176,3.417,3.4228,3.4228
01/07/2014,3.4273,3.44226,3.40006,3.42336,3.42336
01/08/2014,3.42486,3.58711,3.40486,3.56836,3.56836
01/09/2014,3.56196,3.69576,3.56196,3.67776,3.67776
01/10/2014,3.67551,3.80006,3.63426,3.76361,3.76361
01/11/2014,3.78296,3.89889,3.75801,3.88984,3.88984
01/12/2014,3.88984,3.9967,3.85179,3.89196,3.89196
01/01/2015,3.8919,4.0102,3.87496,3.92496,3.92496
01/02/2015,3.92276,3.99487,3.82831,3.95627,3.95627
01/03/2015,3.97378,4.06595,3.915,3.95684,3.95684
01/04/2015,3.97423,4.01955,3.84477,3.85656,3.85656
01/05/2015,3.86093,3.90196,3.80126,3.86564,3.86564
01/06/2015,3.86046,3.88065,3.74386,3.77135,3.77135
